"Listing Id","FSN","SKU","MRP","FSP","sales_package","color","model_number","type","brand"
"LSTERGGE7YCZSGZF35ZV2F3SW","ERGGE7YCZSGZF35Z","SEr202246","799.0","195.0","2 Earring","Silver","Long Silver Arrow Threader Silver Stainless Steel Hoop Earings SEr202246","Hoop Earring, Stud Earring, Drops & Danglers, Huggie Earring, Tunnel Earring","M Men Style"
"LSTERGGE9DFBCHWUVN2Z57COG","ERGGE9DFBCHWUVN2","SEr202299","799.0","239.0","2 Earring","Silver","Arrowhead Huggie Ear With Chrismas Gift Feather Long Chain SEr202299","Drops & Danglers","M Men Style"
"LSTERGGE9DYGHHABM9RCMGYOA","ERGGE9DYGHHABM9R","SEr2022102","799.0","226.0","2 Earring","Silver","Christ Jesus Cross With Chrismas Gift Feather Long Chain SEr2022102","Drops & Danglers","M Men Style"
"LSTERGGE7YCMMCGZCCZPMIZLY","ERGGE7YCMMCGZCCZ","SEr202245","799.0","160.0","2 Earring","Silver","Razor Blade Huggie Hoop Silver Stainless Steel Hoop Earings SEr202245","Hoop Earring, Stud Earring, Drops & Danglers, Huggie Earring, Tunnel Earring","M Men Style"
"LSTERGGEDKY4SMMAZGXEKF95A","ERGGEDKY4SMMAZGX","SEr2022106","799.0","142.0","2 Earring","Black","Style Hollow-Out Triangle Rock Huggie Hoop EarringsSEr2022106","Drops & Danglers","M Men Style"
"LSTERGGEDKYY9SFNAPSJJQZUM","ERGGEDKYY9SFNAPS","SEr2022133","799.0","160.0","2 Earring","Black, Silver","Style Hollow-Out Triangle Rock Star Dangle Hoop Earrings SEr2022133","Drops & Danglers","M Men Style"
"LSTERGGEDKZQCCFFAZMKVQSYX","ERGGEDKZQCCFFAZM","SEr2022113","799.0","192.0","2 Earring","Black","Razor Blade Feather Ring Long Chain Hoop EarringsSEr2022113","Drops & Danglers","M Men Style"
"LSTERGGEFW4F3MXS6YXLVG1H4","ERGGEFW4F3MXS6YX","SEr2022150","799.0","152.0","2 Earring","Black, Silver","Arrowhead With Feather Ring Long Chain Hoop Earrings SEr2022150","Hoop Earring","M Men Style"
"LSTERGH5DRZTU764EUSDT7WG9","ERGH5DRZTU764EUS","SEr202405","799.0","230.0","2 Earrings","Silver","Religious Islamic Ali Sword Islam Knife Sword Piercing Hoop Earrings SEr202405","Hoop Earring","M Men Style"
